Id,Title,Category,Diagram,Interaction,Priority,State,Changed By,Description,Justification,Last Modified
141,Spoofing the Browser External Entity,Spoofing,Request Secrets,HTTPS Request,High,Not Started,,Browser may be spoofed by an attacker and this may lead to unauthorized access to Kerstel web server. Consider using a standard authentication mechanism to identify the external entity.,,Generated
1,Cross Site Scripting,Tampering,Request Secrets,HTTPS Request,High,Not Started,,The web server 'Kerstel web server' could be a subject to a cross-site scripting attack because it does not sanitize untrusted input.,,Generated
2,Elevation Using Impersonation,Elevation Of Privilege,Request Secrets,HTTPS Request,High,Not Started,,Kerstel web server may be able to impersonate the context of Browser in order to gain additional privilege.,,Generated
3,Elevation Using Impersonation,Elevation Of Privilege,Request Secrets,HTTPS Request,High,Not Started,,Rest API may be able to impersonate the context of Kerstel web server in order to gain additional privilege.,,Generated
4,Rest API Process Memory Tampered,Tampering,Request Secrets,HTTPS Responds,High,Not Started,,"If Rest API is given access to memory, such as shared memory or pointers, or is given the ability to control what Kerstel web server executes (for example, passing back a function pointer.), then Rest API can tamper with Kerstel web server. Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it.",,Generated
5,Cross Site Scripting,Tampering,Request Secrets,HTTPS Responds,High,Not Started,,The web server 'Kerstel web server' could be a subject to a cross-site scripting attack because it does not sanitize untrusted input.,,Generated
6,Elevation Using Impersonation,Elevation Of Privilege,Request Secrets,HTTPS Responds,High,Not Started,,Kerstel web server may be able to impersonate the context of Rest API in order to gain additional privilege.,,Generated
14,Elevation Using Impersonation,Elevation Of Privilege,Request Secrets,Client-to-Server Communication,High,Not Started,,Rest API may be able to impersonate the context of SignalR in order to gain additional privilege.,,Generated
13,Spoofing the SignalR External Entity,Spoofing,Request Secrets,Client-to-Server Communication,High,Not Started,,SignalR may be spoofed by an attacker and this may lead to unauthorized access to Rest API. Consider using a standard authentication mechanism to identify the external entity.,,Generated
12,Elevation Using Impersonation,Elevation Of Privilege,Request Secrets,"Email Response ",High,Not Started,,Rest API may be able to impersonate the context of Mail API in order to gain additional privilege.,,Generated
11,Spoofing the Mail API External Entity,Spoofing,Request Secrets,"Email Response ",High,Not Started,,Mail API may be spoofed by an attacker and this may lead to unauthorized access to Rest API. Consider using a standard authentication mechanism to identify the external entity.,,Generated
15,Spoofing of Destination Data Store SQL Database,Spoofing,Request Secrets,Query Request,High,Not Started,,SQL Database may be spoofed by an attacker and this may lead to data being written to the attacker's target instead of SQL Database. Consider using a standard authentication mechanism to identify the destination data store.,,Generated
16,Potential SQL Injection Vulnerability for SQL Database,Tampering,Request Secrets,Query Request,High,Not Started,,SQL injection is an attack in which malicious code is inserted into strings that are later passed to an instance of SQL Server for parsing and execution. Any procedure that constructs SQL statements should be reviewed for injection vulnerabilities because SQL Server will execute all syntactically valid queries that it receives. Even parameterized data can be manipulated by a skilled and determined attacker.,,Generated
17,Potential Excessive Resource Consumption for Rest API or SQL Database,Denial Of Service,Request Secrets,Query Request,High,Not Started,,"Does Rest API or SQL Database take explicit steps to control resource consumption? Resource consumption attacks can be hard to deal with, and there are times that it makes sense to let the OS do the job. Be careful that your resource requests don't deadlock, and that they do timeout.",,Generated
18,Spoofing of Source Data Store SQL Database,Spoofing,Request Secrets,Query Responds,High,Not Started,,SQL Database may be spoofed by an attacker and this may lead to incorrect data delivered to Rest API. Consider using a standard authentication mechanism to identify the source data store.,,Generated
19,Weak Access Control for a Resource,Information Disclosure,Request Secrets,Query Responds,High,Not Started,,Improper data protection of SQL Database can allow an attacker to read information not intended for disclosure. Review authorization settings.,,Generated
20,Spoofing of Source Data Store Secrets,Spoofing,Request Secrets,Responds Secrets,High,Not Started,,Secrets may be spoofed by an attacker and this may lead to incorrect data delivered to Rest API. Consider using a standard authentication mechanism to identify the source data store.,,Generated
21,Weak Access Control for a Resource,Information Disclosure,Request Secrets,Responds Secrets,High,Not Started,,Improper data protection of Secrets can allow an attacker to read information not intended for disclosure. Review authorization settings.,,Generated
22,Spoofing of Destination Data Store Secrets,Spoofing,Request Secrets,Request Secrets,High,Not Started,,Secrets may be spoofed by an attacker and this may lead to data being written to the attacker's target instead of Secrets. Consider using a standard authentication mechanism to identify the destination data store.,,Generated
